index,registry_number,business_name,entity_type,registry_date,associated_name_type,address,city,state,zip,business_details,address_continued,not_of_record_entity,Full address,name,lat,lon
31083,147455398,COLUMIBA MARKET,ASSUMED BUSINESS NAME,2018-09-06T16:02:08.000,PRINCIPAL PLACE OF BUSINESS,450 SW WANAPA ST,CASCADE LOCKS,OR,97014,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=147455398&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"450 SW WANAPA ST,CASCADE LOCKS,OR,97014",,45.666331132092694,-121.89505365396666
2967,150894195,EL PORVENIR MINI MARKET CORP.,DOMESTIC BUSINESS CORPORATION,2019-01-02T11:03:00.000,PRINCIPAL PLACE OF BUSINESS,25 SE 162ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=150894195&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"25 SE 162ND AVE,PORTLAND,OR,97233","El Porvenir Mini Market, Southeast 162nd Avenue, Rockwood, Portland, Multnomah County, Oregon, 97233, United States",45.5217879,-122.4967887
31591,19031459,ERICKSON SUPER MARKET,ASSUMED BUSINESS NAME,1979-12-31T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,561 4TH ST,MADRAS,OR,97741,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=19031459&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"561 4TH ST,MADRAS,OR,97741","4th Street, Madras, Jefferson County, Oregon, 97741, United States",44.6241951,-121.1306488
5080,182310293,EVERYDAY DEALS GROCERY,ASSUMED BUSINESS NAME,2021-05-13T13:30:20.000,PRINCIPAL PLACE OF BUSINESS,621 SE 202ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=182310293&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"621 SE 202ND AVE,PORTLAND,OR,97233",,45.51799268882096,-122.45628770187388
1828,115736092,"EXTREME GROCERY DISCOUNTERS, LLC",FOREIGN LIMITED LIABILITY COMPANY,2015-10-28T10:44:30.000,PRINCIPAL PLACE OF BUSINESS,600 SE 146TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=115736092&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"600 SE 146TH AVE,PORTLAND,OR,97233","600, Southeast 146th Avenue, Centennial, Portland, Multnomah County, Oregon, 97233, United States",45.518298762711865,-122.51315430508474
41314,171540199,FALLS CITY MARKET,ASSUMED BUSINESS NAME,2020-09-03T13:01:48.000,PRINCIPAL PLACE OF BUSINESS,319 MAIN ST,FALLS CITY,OR,97344,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=171540199&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"319 MAIN ST,FALLS CITY,OR,97344","319, Main Street South, Falls City, Polk County, Oregon, 97344, United States",44.864810949771986,-123.43592606672176
33657,172571698,GROCERY OUTLET OF MADRAS,ASSUMED BUSINESS NAME,2020-09-30T16:39:36.000,PRINCIPAL PLACE OF BUSINESS,1537 SW HIGHWAY 97,MADRAS,OR,97741,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=172571698&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"1537 SW HIGHWAY 97,MADRAS,OR,97741",,44.61460816218274,-121.13410590000001
37920,120984992,GUERRERO'S MARKET,ASSUMED BUSINESS NAME,2016-04-22T11:26:44.000,PRINCIPAL PLACE OF BUSINESS,106 SE 2ND ST,ONTARIO,OR,97914,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=120984992&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"106 SE 2ND ST,ONTARIO,OR,97914","106, Southeast 2nd Street, Ontario, Malheur County, Oregon, 97914, United States",44.02428264202877,-116.95913317693879
38100,131140691,J & D FAMILY MARKET INC.,DOMESTIC BUSINESS CORPORATION,2017-04-05T12:06:43.000,PRINCIPAL PLACE OF BUSINESS,2670 SW 4TH AVE,ONTARIO,OR,97914,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=131140691&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"2670 SW 4TH AVE,ONTARIO,OR,97914","2670, Southwest 4th Avenue, Ontario, Malheur County, Oregon, 97914, United States",44.024741078603554,-117.00239661190868
36977,40420994,MALLARD GROCERY,ASSUMED BUSINESS NAME,2007-01-23T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,797 N OREGON ST,ONTARIO,OR,97914,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=40420994&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"797 N OREGON ST,ONTARIO,OR,97914","797, North Oregon Street, Ontario, Malheur County, Oregon, 97914, United States",44.035343,-116.960591
40802,14976716,"NOEL'S MARKET, INC.",DOMESTIC BUSINESS CORPORATION,1981-01-06T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,180 GAITHER,SILETZ,OR,97380,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=14976716&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"180 GAITHER,SILETZ,OR,97380","Gaither Street, Siletz, Lincoln County, Oregon, 97380, United States",44.7238252,-123.9180281
39247,179328191,ONTARIO MINI MARKET AND PRODUCE LLC,DOMESTIC LIMITED LIABILITY COMPANY,2021-03-09T10:48:07.000,PRINCIPAL PLACE OF BUSINESS,1309 SW 11TH AVE,ONTARIO,OR,97914,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=179328191&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"1309 SW 11TH AVE,ONTARIO,OR,97914","1309, Southwest 11th Avenue, Ontario, Malheur County, Oregon, 97914, United States",44.01973645905672,-116.9834689380767
36863,31212095,OREGON NATURAL MARKET,ASSUMED BUSINESS NAME,2005-10-31T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,373 SW 1ST ST,ONTARIO,OR,97914,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=31212095&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"373 SW 1ST ST,ONTARIO,OR,97914","373, Southwest 1st Street, Ontario, Malheur County, Oregon, 97914, United States",44.02391600766993,-116.96529909136943
2707,143939296,"ZWE KA BIN GROCERY, LLC",DOMESTIC LIMITED LIABILITY COMPANY,2018-05-11T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,2300 SE 182ND AVE STE 9,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=143939296&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,,"2300 SE 182ND AVE STE 9,PORTLAND,OR,97233",,45.50692529777633,-122.47477299999998
